DATE(CREATED_AT),COUNT(ID)
2025-05-01,172599
2025-05-04,132030
2025-05-11,105898
2025-06-29,115851
2025-07-07,269679
2025-07-27,96184
2024-04-15,162663
2024-04-10,113941
2024-04-09,119714
2024-03-30,95798
2024-03-27,124815
2024-03-29,104542
2024-04-05,110808
2024-01-29,113194
2024-01-24,84062
2024-03-18,144231
2024-02-29,113757
2024-03-10,104051
2024-01-23,89878
2024-04-25,174014
2024-04-27,101835
2024-01-13,43420
2024-05-01,206861
2024-01-06,50212
2024-05-15,175898
2024-05-27,231929
2024-06-15,89496
2024-06-28,172571
2024-07-01,292271
2024-07-06,84144
2024-07-19,123792
2024-08-06,205302
2024-08-10,94060
2024-08-12,239019
2024-08-26,236094
2024-08-31,112686
2024-10-10,175719
2024-10-20,123963
2024-10-26,50926
2024-11-02,60031
2025-01-02,240709
2025-02-06,180689
2025-02-21,119639
2025-03-19,139211
2025-04-05,57464
2025-05-17,60485
2025-06-28,71966
2025-07-05,76888
2025-07-06,115530
2025-08-18,209183
2025-09-08,242350
2024-05-26,130509
2024-05-29,171846
2024-06-01,84549
2024-06-09,160304
2024-06-26,160629
2024-06-27,159478
2024-09-24,129039
2024-09-25,136732
2024-11-18,251133
2024-11-26,324547
2024-12-29,125692
2025-01-06,251412
2025-01-20,215324
2025-01-26,110021
2025-02-03,261785
2025-02-23,89090
2025-03-03,225212
2025-03-29,56875
2025-03-31,224756
2025-04-10,143925
2025-04-15,144242
2025-04-19,62640
2025-05-05,258548
2025-05-18,95262
2025-06-17,175602
2025-06-20,117638
2025-06-24,170294
2025-07-11,119606
2025-07-30,159114
2025-08-06,174873
2025-08-16,59550
2024-09-13,148128
2024-12-24,25972
2025-02-02,157832
2025-03-12,143661
2025-03-20,136549
2025-06-23,225166
2025-07-09,151158
2025-07-21,201190
2025-08-02,70982
2024-04-07,81550
2024-03-07,120753
2024-03-04,186020
2024-03-11,164023
2024-03-14,117251
2024-03-03,114178
2024-02-26,106715
2024-02-17,34621
2024-01-19,75049
2024-01-04,91706
2024-02-24,45386
2024-01-08,133327
2024-04-20,132497
2024-01-25,80343
2024-04-26,179415
2024-01-01,33078
2024-05-07,213231
2024-05-12,131759
2024-05-17,151029
2024-05-16,179754
2024-06-17,247615
2024-06-23,137096
2024-06-25,189678
2024-07-28,149193
2024-07-30,189916
2024-07-29,229596
2024-08-16,148741
2024-08-19,228554
2024-08-20,200831
2024-08-24,95836
2024-09-05,172108
2024-09-17,199203
2024-11-30,313543
2024-12-02,423884
2024-12-14,142699
2025-01-23,148052
2025-02-19,138558
2025-03-07,117161
2025-03-14,115669
2025-03-15,57766
2025-03-22,54021
2025-04-27,104610
2025-05-25,105234
2025-05-28,174612
2025-06-06,161619
2025-06-08,99735
2025-06-18,163277
2025-07-19,43892
2025-07-29,161187
2025-08-17,101881
2025-08-26,168125
2025-09-05,158392
2025-09-11,168602
2024-02-12,110609
2024-05-11,96399
2024-05-20,134997
2024-05-23,154415
2024-06-08,87155
2024-06-20,161915
2024-08-09,168705
2024-10-23,148571
2024-10-29,146975
2024-10-31,171811
2024-11-23,117339
2024-11-28,329780
2024-12-07,140053
2024-12-22,88980
2025-02-17,200604
2025-06-13,131631
2025-06-19,148582
2025-06-27,147411
2025-07-25,121625
2025-07-26,57508
2025-09-01,289087
2025-09-03,225436
2024-02-23,65415
2024-10-14,219133
2024-10-28,207848
2024-12-31,46873
2025-05-22,147687
